"","Campus","StudyField","Branch","Role","EduLevel","ProgLang","Databases","Platform","WebFramework","Industry","AISearch","AITool","Employment"
"1076","Pretoria Campus","Computer Science","I am a developer by profession","Data scientist or machine learning specialist","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Julia;Python;R;Scala;SQL","DuckDB;Oracle","Amazon Web Services (AWS)","Flask","Retail and Consumer Services","ChatGPT;WolframAlpha","Codeium;GitHub Copilot;Replit Ghostwriter;Tabnine","Employed, full-time"
"1077","Pretoria Campus","Computer Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Other (please specify):","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;SQL","Cosmos DB;Microsoft SQL Server;Oracle;Redis","Cloudflare;Microsoft Azure;Oracle Cloud Infrastructure (OCI)","Angular;ASP.NET;ASP.NET CORE;Django;jQuery;Node.js","Oil & Gas","Bing AI;ChatGPT;WolframAlpha","Codeium;GitHub Copilot;Tabnine","Employed, full-time"
"1078","Durban Campus","Data Science","I am a developer by profession","Developer, back-end","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Bash/Shell (all shells);Go;JavaScript;Python;Rust;SQL;TypeScript","MariaDB;MySQL;Oracle;PostgreSQL","Amazon Web Services (AWS)","Express;Node.js","Other","ChatGPT","Codeium","Employed, full-time;Independent contractor, freelancer, or self-employed"
"1079","Pretoria Campus","Data Science","I am a developer by profession","Engineer, data","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C;C#;Go;HTML/CSS;Java;JavaScript;PHP;Rust;SQL;TypeScript","BigQuery;Elasticsearch;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Google Cloud;Vercel","Angular;Express;FastAPI;Laravel;Next.js;Node.js;React;Spring Boot","Oil & Gas","ChatGPT;Google Bard AI","Codeium;GitHub Copilot","Employed, full-time;Independent contractor, freelancer, or self-employed"
"1080","Nelspruit Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","JavaScript;Lua;Python;Scala;SQL;TypeScript","Cassandra;Elasticsearch;MariaDB;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Google Cloud;VMware","Angular;CodeIgniter;Django;Express;Laravel;Node.js;WordPress","Other","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Replit Ghostwriter;Tabnine","Employed, full-time"
"1081","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, front-end","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","HTML/CSS;JavaScript;PHP;Python","Oracle","Oracle Cloud Infrastructure (OCI)","WordPress","Manufacturing, Transportation, or Supply Chain","Bing AI;Google Bard AI;Quora Poe","AWS CodeWhisperer;Synk Code","Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time;Student, part-time"
"1082","Durban Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;Java;Python","Microsoft SQL Server;PostgreSQL","Linode, now Akamai;Microsoft Azure;Oracle Cloud Infrastructure (OCI)","Angular;AngularJS;ASP.NET;ASP.NET CORE;Flask;jQuery;Spring Boot;Vue.js","Manufacturing, Transportation, or Supply Chain","ChatGPT","AWS CodeWhisperer","Employed, full-time"
"1083","Port Elizabeth Campus","Computer Science","I am a developer by profession","Developer, back-end","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Bash/Shell (all shells);C#;Elixir;HTML/CSS;JavaScript;Python;SQL","MySQL;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Digital Ocean;Firebase;Google Cloud","ASP.NET;ASP.NET CORE;Django;Express;Flask;Node.js;Phoenix;React;Svelte","Wholesale","ChatGPT","Codeium;GitHub Copilot;Synk Code","Student, full-time;Employed, part-time"
"1084","Durban Campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;TypeScript","Firebase Realtime Database;PostgreSQL;Redis","Google Cloud","Fastify;Node.js","Financial Services","ChatGPT","Synk Code;Tabnine","Employed, full-time"
"1085","Port Elizabeth Campus","IT","I am a developer by profession","Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Ada;Assembly;Bash/Shell (all shells);C;C#;C++;Dart;Go;HTML/CSS;Java;Kotlin;Swift","Cloud Firestore;Firebase Realtime Database;SQLite;Supabase","Cloudflare;Digital Ocean;Firebase;Google Cloud;OVH","Node.js","Insurance","Bing AI;ChatGPT;Google Bard AI","AWS CodeWhisperer;Codeium;GitHub Copilot;Tabnine;Whispr AI","Independent contractor, freelancer, or self-employed"
"1086","Nelspruit Campus","Data Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript","H2;MongoDB;PostgreSQL;Redis","Amazon Web Services (AWS);Google Cloud;Hetzner","Lit;Spring Boot","Legal Services","Bing AI;ChatGPT","Adrenaline;Codeium;GitHub Copilot","Employed, full-time;Independent contractor, freelancer, or self-employed"
"1087","Nelspruit Campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PHP;Python;SQL","Elasticsearch;MariaDB;MySQL;PostgreSQL","Hetzner","jQuery;Node.js;WordPress","Manufacturing, Transportation, or Supply Chain","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Whispr AI","Employed, full-time;Independent contractor, freelancer, or self-employed"
"1088","Durban Campus","IT","I am a developer by profession","Developer, QA or test","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;C++;HTML/CSS;Java;Python;TypeScript","Elasticsearch;MongoDB;PostgreSQL","Amazon Web Services (AWS)","Spring Boot","Financial Services","Bing AI;ChatGPT","AWS CodeWhisperer;GitHub Copilot;Synk Code;Tabnine;Whispr AI","Employed, full-time"
"1089","Durban Campus","Data Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Security professional","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Assembly;Bash/Shell (all shells);C;C#;C++;Java;JavaScript;Kotlin;PowerShell;Python;Rust;SQL;Swift","Cassandra;Elasticsearch;MariaDB;MySQL;PostgreSQL;SQLite","VMware","Flask;WordPress","Manufacturing, Transportation, or Supply Chain","ChatGPT;WolframAlpha","GitHub Copilot;Synk Code","Employed, full-time;Student, part-time"
"1090","Port Elizabeth Campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;JavaScript;TypeScript","Microsoft SQL Server;MongoDB","Digital Ocean;Firebase;Google Cloud;Microsoft Azure","Angular;AngularJS;ASP.NET;ASP.NET CORE;Blazor","Information Services, IT, Software Development, or other Technology","Bing AI;ChatGPT;Google Bard AI","AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Tabnine;Whispr AI","Employed, full-time"
"1091","Nelspruit Campus","Data Science","I am a developer by profession","Student","Some college/university study without earning a degree","Bash/Shell (all shells);C;C#;HTML/CSS;Java;JavaScript;Kotlin;Lua;PHP;PowerShell;Python;SQL;TypeScript","MySQL;PostgreSQL;Redis;SQLite","Digital Ocean;Firebase;Google Cloud;Microsoft Azure","ASP.NET CORE;Express;Node.js;React","Financial Services","ChatGPT;WolframAlpha","Adrenaline;AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Whispr AI","Not employed, but looking for work;Student, full-time"
"1092","Nelspruit Campus","Computer Science","I am a developer by profession","Developer, mobile","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Java;Kotlin","Cloud Firestore;Firebase Realtime Database;MongoDB;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Firebase;VMware","jQuery","Retail and Consumer Services","ChatGPT","GitHub Copilot;Replit Ghostwriter;Whispr AI","Employed, full-time"
"1093","Nelspruit Campus","IT","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Assembly;Bash/Shell (all shells);C;C++;Go;HTML/CSS;JavaScript;Kotlin;Python;Ruby;Rust;SQL;TypeScript","PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Google Cloud;Microsoft Azure;Scaleway","Node.js;React","Retail and Consumer Services","ChatGPT;WolframAlpha","Adrenaline;GitHub Copilot;Rubber Duck.AI;Tabnine","Employed, full-time"
"1094","Port Elizabeth Campus","IT","I am a developer by profession","Project manager","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C++;HTML/CSS;Java;JavaScript;TypeScript","MariaDB;Microsoft SQL Server;MongoDB;MySQL;SQLite","Managed Hosting","Deno;Express;Node.js;React","Retail and Consumer Services","Phind","AWS CodeWhisperer;Whispr AI","Employed, part-time"
"1095","Durban Campus","IT","I am a developer by profession","DevOps specialist","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C;C++;Go;Groovy;HTML/CSS;JavaScript;Lua;Objective-C;Perl;PHP;Python;Ruby;SQL","Dynamodb;Elasticsearch;InfluxDB;MariaDB;MySQL;PostgreSQL;Redis","Amazon Web Services (AWS);Cloudflare","Node.js;Play Framework;WordPress","Legal Services","Bing AI","AWS CodeWhisperer;Replit Ghostwriter;Rubber Duck.AI;Tabnine","Not employed, but looking for work"
"1096","Nelspruit Campus","Data Science","I am a developer by profession","Developer, back-end","Some college/university study without earning a degree","C#;JavaScript;PHP;Python;Rust;SQL;TypeScript","Dynamodb;Firebase Realtime Database;Microsoft SQL Server;MongoDB;MySQL","Amazon Web Services (AWS);Vercel","Next.js","Higher Education","ChatGPT;WolframAlpha","Adrenaline;AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Employed, full-time;Student, part-time"
"1097","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, back-end","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Python","Dynamodb;PostgreSQL;Redis","Amazon Web Services (AWS);Heroku;VMware","Angular;Django;Flask","Insurance","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Mintlify;Tabnine","Employed, full-time"
"1098","Port Elizabeth Campus","Computer Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript","Cassandra;Dynamodb;MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;Oracle;PostgreSQL;SQLite","Amazon Web Services (AWS);Digital Ocean;Microsoft Azure;VMware","Angular;AngularJS;ASP.NET;ASP.NET CORE;Django;Flask;jQuery;React;Ruby on Rails;Vue.js","Healthcare","Bing AI;ChatGPT;Google Bard AI","Synk Code;Tabnine","Employed, full-time;Independent contractor, freelancer, or self-employed"
"1099","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Objective-C;SQL;Swift;TypeScript","Cloud Firestore;Firebase Realtime Database;MariaDB;MongoDB;PostgreSQL;SQLite","Amazon Web Services (AWS);Digital Ocean;Firebase;Google Cloud;Managed Hosting;Microsoft Azure;Vercel","Angular;Express;Gatsby;Next.js;Node.js;React","Legal Services","ChatGPT","Adrenaline;AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter","Employed, full-time;Independent contractor, freelancer, or self-employed"
"1100","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","HTML/CSS;Java;JavaScript;PHP;Python;SQL;Swift;TypeScript","MariaDB;MySQL;PostgreSQL","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Microsoft Azure","Express;Fastify;NestJS;Next.js;Node.js;React","Insurance","ChatGPT","GitHub Copilot;Rubber Duck.AI","Employed, full-time"
"1101","Pretoria Campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;Ruby;SQL","Dynamodb;MongoDB;PostgreSQL;Redis","Amazon Web Services (AWS);Google Cloud","Ruby on Rails","Oil & Gas","Phind","AWS CodeWhisperer;Codeium;Replit Ghostwriter;Synk Code;Tabnine","Employed, full-time"
"1102","Durban Campus","Data Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Engineering manager","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","C#;Go;Java;JavaScript;Kotlin;SQL;TypeScript","Microsoft SQL Server;Oracle","Amazon Web Services (AWS);Microsoft Azure","Angular;Spring Boot","Wholesale","ChatGPT","Adrenaline;GitHub Copilot;Synk Code","Employed, full-time"
"1103","Port Elizabeth Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;SQL;Visual Basic (.Net)","Cosmos DB","Microsoft Azure","Blazor","Healthcare","Bing AI;ChatGPT","AWS CodeWhisperer;Mintlify","Independent contractor, freelancer, or self-employed"
"1104","Nelspruit Campus","IT","I am a developer by profession","Engineer, site reliability","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Go;JavaScript;Python;SQL","PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Hetzner","Django;Flask;jQuery","Advertising Services","ChatGPT","AWS CodeWhisperer;Codeium;Tabnine;Whispr AI","Employed, full-time;Independent contractor, freelancer, or self-employed"
"1105","Durban Campus","Computer Science","I am a developer by profession","Developer, full-stack","Associate degree (A.A., A.S., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;Ruby;TypeScript","MongoDB;MySQL;PostgreSQL;SQLite;Supabase","Fly.io;Google Cloud;Heroku;Render","Express;Node.js;React;Ruby on Rails","Wholesale","ChatGPT;Google Bard AI","Adrenaline;AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter","Independent contractor, freelancer, or self-employed;Not employed, but looking for work"
"1106","Pretoria Campus","IT","I am a developer by profession","Developer, desktop or enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Ada;C;C#;C++;F#;Go;Java;JavaScript;Kotlin;PowerShell;Python;Rust;SQL;TypeScript","Couch DB;Microsoft SQL Server;PostgreSQL;SQLite","Amazon Web Services (AWS);Microsoft Azure","AngularJS;Express;Flask;Node.js;React;Vue.js","Other","ChatGPT","Synk Code;Tabnine;Whispr AI","Employed, full-time"
"1107","Durban Campus","Computer Science","I am a developer by profession","Developer, full-stack","Associate degree (A.A., A.S., etc.)","HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript","Microsoft SQL Server;MySQL","Digital Ocean;Microsoft Azure","Angular;Svelte","Insurance","Bing AI;ChatGPT","Adrenaline;AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter","Employed, full-time"
"1108","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","JavaScript;Python;TypeScript","MongoDB;MySQL;SQLite","Google Cloud;Heroku;Linode, now Akamai","Django;FastAPI;Flask;NestJS;Node.js","Insurance","ChatGPT","AWS CodeWhisperer;Tabnine","Employed, full-time"
"1109","Nelspruit Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Flow;Java;JavaScript;PHP;Python;SQL;TypeScript","Dynamodb;Elasticsearch;MySQL;PostgreSQL","Amazon Web Services (AWS);Google Cloud;Heroku;Render;Vercel","CodeIgniter;Django;Next.js;React;WordPress","Information Services, IT, Software Development, or other Technology","Bing AI;ChatGPT;WolframAlpha","AWS CodeWhisperer;Replit Ghostwriter;Tabnine","Employed, full-time"
"1110","Durban Campus","Data Science","I am a developer by profession","Developer, desktop or enterprise applications","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Assembly;Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript;Python;TypeScript","MongoDB;MySQL;SQLite;Supabase","Google Cloud;Managed Hosting;Vercel","Deno;Express;Flask;Next.js;Node.js;React;Svelte","Wholesale","ChatGPT;WolframAlpha","Adrenaline;Synk Code;Whispr AI","Student, full-time;Employed, part-time"
"1111","Durban Campus","Computer Science","I used to be a developer by profession, but no longer am","Project manager","Associate degree (A.A., A.S., etc.)","Bash/Shell (all shells);C;C++;Rust","Microsoft SQL Server;MongoDB","Amazon Web Services (AWS);Microsoft Azure","ASP.NET CORE;Node.js;React","Advertising Services","ChatGPT","Adrenaline;AWS CodeWhisperer;Codeium;Mintlify;Rubber Duck.AI;Synk Code;Tabnine","Employed, full-time"
"1112","Pretoria Campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Java;Kotlin;Scala","Cassandra;Elasticsearch;H2;MongoDB;MySQL;Oracle;PostgreSQL;Redis","Amazon Web Services (AWS);Google Cloud;Heroku;Linode, now Akamai;Microsoft Azure","jQuery;Play Framework;React","Legal Services","WolframAlpha","Mintlify","Employed, full-time"
"1113","Pretoria Campus","IT","I am a developer by profession","Engineering manager","Some college/university study without earning a degree","Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;Rust;SQL;TypeScript","PostgreSQL;Redis;SQLite","Digital Ocean;Hetzner","FastAPI;Flask;React","Healthcare","ChatGPT","Mintlify;Synk Code","Employed, full-time"
"1114","Port Elizabeth Campus","IT","I am a developer by profession","Developer, front-end","Something else","Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript","MongoDB;PostgreSQL;Redis","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Microsoft Azure","Express;Fastify;Gatsby;Next.js;Node.js;React","Other","ChatGPT","AWS CodeWhisperer;Synk Code;Whispr AI","Independent contractor, freelancer, or self-employed"
"1115","Nelspruit Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Clojure;HTML/CSS;Java;JavaScript;R","MariaDB;MySQL;PostgreSQL","Amazon Web Services (AWS)","React","Oil & Gas","ChatGPT","Mintlify","Employed, full-time"
"1116","Nelspruit Campus","Computer Science","I am a developer by profession","Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","HTML/CSS;JavaScript;TypeScript","MySQL;PostgreSQL;Redis;SQLite;Supabase","Cloudflare;Fly.io;Vercel","Express;Fastify;Next.js;Node.js;Nuxt.js;React;Remix;Solid.js;Svelte;Vue.js","Manufacturing, Transportation, or Supply Chain","ChatGPT;You.com","Codeium;GitHub Copilot;Replit Ghostwriter;Tabnine","Not employed, but looking for work"
"1117","Durban Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;Python;SQL","Cloud Firestore;Firebase Realtime Database;MySQL;PostgreSQL;Redis","Amazon Web Services (AWS);Firebase;Google Cloud;Heroku","Django;jQuery;React;WordPress","Retail and Consumer Services","ChatGPT;Google Bard AI","AWS CodeWhisperer;Codeium;GitHub Copilot;Replit Ghostwriter;Tabnine","Employed, full-time"
"1118","Nelspruit Campus","IT","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","Bash/Shell (all shells);C;C++;Dart;HTML/CSS;Java;JavaScript;Lisp;PHP;Ruby;Rust;SQL","Couch DB;MariaDB;MySQL;PostgreSQL","Amazon Web Services (AWS);Digital Ocean","jQuery;Laravel;Node.js;Ruby on Rails","Advertising Services","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Mintlify","Employed, full-time"
"1119","Durban Campus","Data Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Project manager","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;C#;C++;Cobol;Groovy;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript","Dynamodb;MariaDB;Microsoft SQL Server;MongoDB;MySQL","Amazon Web Services (AWS);Heroku;Linode, now Akamai;Oracle Cloud Infrastructure (OCI);VMware","Django;FastAPI;Flask;jQuery;Node.js;React;Spring Boot","Other","ChatGPT","AWS CodeWhisperer;Mintlify","Employed, full-time;Student, full-time"
"1120","Durban Campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;Kotlin;PHP;Python","MariaDB;Microsoft Access;Microsoft SQL Server;MySQL;SQLite","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Microsoft Azure","Angular;AngularJS;CodeIgniter;Django;FastAPI;Flask;jQuery;React;WordPress","Legal Services","Bing AI;ChatGPT;Quora Poe","AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Tabnine;Whispr AI","Employed, full-time;Independent contractor, freelancer, or self-employed"
"1121","Port Elizabeth Campus","Computer Science","I am a developer by profession","Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;TypeScript","MongoDB","Cloudflare","Angular;Deno;Node.js;React","Manufacturing, Transportation, or Supply Chain","ChatGPT","GitHub Copilot;Rubber Duck.AI;Tabnine","Not employed, but looking for work"
"1122","Nelspruit Campus","Data Science","I am a developer by profession","Developer, back-end","Some college/university study without earning a degree","Bash/Shell (all shells);Dart;Go;Java;JavaScript;PHP;Python;Ruby;Rust;SQL","BigQuery;Cloud Firestore;Cosmos DB;Elasticsearch;Firebase Realtime Database;MariaDB;MongoDB;Oracle;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Digital Ocean;Firebase;Google Cloud;Heroku;Microsoft Azure","Angular;AngularJS;ASP.NET;ASP.NET CORE;Django;Express;jQuery;React;Ruby on Rails;Spring Boot;Vue.js","Oil & Gas","ChatGPT","Adrenaline;GitHub Copilot;Synk Code","Employed, full-time"
"1123","Nelspruit Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C++;JavaScript;Python;TypeScript","Microsoft SQL Server;PostgreSQL;Redis","Amazon Web Services (AWS)","Express;Node.js;React","Wholesale","ChatGPT","Adrenaline;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Employed, full-time"
"1124","Port Elizabeth Campus","Data Science","I am a developer by profession","Engineer, data","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C++;Fortran;Python;Scala","Microsoft SQL Server;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Microsoft Azure;Netlify","Django;Flask","Other","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Synk Code;Tabnine","Employed, full-time"
"1125","Pretoria Campus","Data Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","C;C#;C++;HTML/CSS;Java;JavaScript;PHP;SQL","Firebase Realtime Database;Microsoft SQL Server;MySQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Firebase;OVH;Vercel","Express;jQuery;NestJS;Next.js;Node.js;React;Symfony;WordPress","Retail and Consumer Services","ChatGPT","Synk Code;Tabnine;Whispr AI","Independent contractor, freelancer, or self-employed"
"1126","Durban Campus","IT","I am a developer by profession","Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Bash/Shell (all shells);C#;Go;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;Rust;SQL","Elasticsearch;MariaDB;MongoDB;Neo4J;PostgreSQL;Redis;SQLite;Supabase","Cloudflare;Hetzner;Netlify","Laravel;Node.js;Svelte;Vue.js","Higher Education","ChatGPT","Mintlify;Tabnine","Employed, full-time"
"1127","Pretoria Campus","Data Science","I am a developer by profession","Developer Advocate","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","HTML/CSS;JavaScript;Objective-C;Rust;TypeScript","Redis;SQLite","Amazon Web Services (AWS);Netlify;Vercel","Elm;Fastify;Node.js;React;Solid.js;Svelte;Vue.js","Wholesale","ChatGPT","GitHub Copilot;Rubber Duck.AI","Employed, full-time"
"1128","Nelspruit Campus","Data Science","I am learning to code","Student","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","C++;HTML/CSS;JavaScript;Python;SQL","MongoDB;MySQL","Amazon Web Services (AWS)","Django;jQuery;Node.js","Higher Education","ChatGPT","Codeium;Tabnine","Not employed, but looking for work;Student, full-time"
"1129","Port Elizabeth Campus","Computer Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","C#;JavaScript;PowerShell;TypeScript","Microsoft SQL Server;PostgreSQL","Amazon Web Services (AWS);Digital Ocean;Firebase;Microsoft Azure","Angular;AngularJS;ASP.NET CORE;Express;NestJS;Node.js","Information Services, IT, Software Development, or other Technology","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Mintlify;Tabnine","Employed, full-time"
"1130","Nelspruit Campus","Computer Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Python","Redis","Amazon Web Services (AWS)","FastAPI","Wholesale","Bing AI;ChatGPT;Google Bard AI;Phind;You.com","AWS CodeWhisperer;Codeium;GitHub Copilot;Replit Ghostwriter;Tabnine","Employed, full-time"
"1131","Durban Campus","IT","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","HTML/CSS;SQL;TypeScript","PostgreSQL","Amazon Web Services (AWS);Heroku;Netlify;Vercel","Next.js;React","Manufacturing, Transportation, or Supply Chain","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Tabnine","Employed, full-time"
"1132","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;SQL","Cosmos DB;Microsoft SQL Server","Microsoft Azure","ASP.NET CORE;Blazor","Insurance","Bing AI;ChatGPT;WolframAlpha","Synk Code;Tabnine;Whispr AI","Employed, full-time"
"1133","Durban Campus","Data Science","I used to be a developer by profession, but no longer am","Educator","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL","MariaDB;PostgreSQL;SQLite","Amazon Web Services (AWS)","Django;Flask;jQuery;WordPress","Healthcare","Bing AI;ChatGPT","Adrenaline;Tabnine","Not employed, but looking for work"
"1134","Pretoria Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;JavaScript;TypeScript","Dynamodb;Elasticsearch;Microsoft SQL Server;PostgreSQL;SQLite","Amazon Web Services (AWS);Digital Ocean","Angular;ASP.NET CORE;jQuery;Node.js;React","Wholesale","ChatGPT","AWS CodeWhisperer;Replit Ghostwriter;Rubber Duck.AI;Tabnine","Employed, full-time"
"1135","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;HTML/CSS;JavaScript;MATLAB;PHP;Python;SQL;TypeScript","Dynamodb;MariaDB;MongoDB;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Heroku;VMware","Angular;AngularJS;Django;Express;Flask;jQuery;Laravel;NestJS;Next.js;Node.js;React;Vue.js","Wholesale","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Tabnine;Whispr AI","Employed, full-time"
